ID,Name,Image,Refrigerated,Frozen
VEG22,Đậu bắp,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI11,Dầu điều,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI12,Dầu dừa,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG23,Đầu hành,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
SPI13,Dầu hào,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI14,Dầu hào Maggi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI15,Dầu hào tỏi ớt CHIN-SU,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI16,Dầu hạt cải,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
RIC05,Đậu hủ chiên,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
RIC06,Đậu hũ non,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
RIC07,Đậu hũ trắng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
SPI17,Dầu mè,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
SPI18,Dầu olive,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG240,Đậu rồng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG250,Dưa cải chua,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG26,Dưa leo,https://cdn.tgdd.vn/Products/Images/8785/226881/bhx/dua-leo-vi-500g-202009292350248147.jpg,5,-1
MEA04,Đùi gà,https://hotelmart.vn/uploads/share-images/2019/06/07/1110_i5cfa1133c1dbf.png,3,60
MEA05,Đuôi heo,https://thegioiamthuc.com/wp-content/uploads/2019/05/duoi-heo-ham.jpg,3,60
SPI19,Đường,https://vinmec-prod.s3.amazonaws.com/images/20200616_025238_746230_duong-co-gay-ra-ben.max-1800x1800.jpg,-1,-1
SPI20,Đường nâu,https://cdn.tgdd.vn/Files/2017/08/24/1015805/duong-nau-la-gi-1_800x415.jpg,-1,-1
SPI21,Đường thốt nốt,https://cf.shopee.vn/file/499479f4887db91435dead13ec556078,-1,-1
SPI22,Đường trắng,http://giadinh.mediacdn.vn/2018/duong-trang-1516091523618.jpg,-1,-1
VEG24,Giá đỗ,https://vn-live-05.slatic.net/p/45bccfe6c6a20a67ed8956b0b71cc310.jpg_720x720q80.jpg_.webp,2,-1
SPI23,Gia vị bò kho,https://cdn.tgdd.vn/Products/Images/8274/77197/bhx/gia-vi-nau-bo-kho-thien-thanh-goi-25g-201912121400184488.jpg,-1,-1
SPI24,Giấm,https://cdn.tgdd.vn/Products/Images/3466/222054/bhx/giam-len-men-ottogi-chai-450ml-202005250841144438.jpg,-1,-1
SPI25,Giấm đen,https://anh.eva.vn/upload/4-2017/images/2017-12-23/giam-can-bang-giam-den-nhat-loi-hay-hai-6-1514048199-374-width660height495.jpg,-1,-1
SPI26,Giấm gạo,https://vn-test-11.slatic.net/shop/434e8a3694ed4a9ac3c1432f06b25f83.jpeg,-1,-1
VEG25,Gừng,https://photo-cms-plo.zadn.vn/w800/Uploaded/2022/xqeioxmrke/2020_03_21/gunglamgiamnguycobenhtim_pycf.jpg,14,-1
