ID,Name,Image,Refrigerated,Frozen
VEG64,Ớt,,5,-1
SPI42,Ớt băm,,5,-1
SPI43,Ớt bột,,5,-1
VEG65,Ớt chuông,,5,-1
VEG66,Ớt chuông đỏ,,5,-1
VEG67,Ớt chuông vàng,,5,-1
VEG68,Ớt chuông xanh,,5,-1
VEG69,Ớt khô,,-1,-1
VEG70,Ớt sa tế,,-1,-1
VEG71,Ớt sừng,,-1,-1
SEA15,Phi lê cá hồi,,3,-1
MEA08,Phi lê gà,,3,-1
VEG72,Rau dền,,4,-1
VEG73,Rau mồng tơi,,4,-1
VEG74,Rau muống,,3,-1
VEG75,Rau ngót,,3,-1
VEG76,Rau nhút,,3,-1
VEG77,Rau răm,,3,-1
VEG78,Rau tần ô (cải cúc),,3,-1
VEG79,Rễ ngò,,3,-1
VEG80,Rong biển,,4,-1
VEG81,Rong biển khô,,14,-1
WAT11,Rượu trắng,,-1,-1
VEG82,Sả,,7,-1
VEG83,Sả băm,,5,-1
SPI44,Sa tế,,-1,-1
SPI45,Sốt hoisin,,-1,-1
SPI46,Sốt Mayonnaise,,-1,-1
MEA09,Sườn heo,,3,60
MEA14,Sườn non,,3,60
VEG84,Thanh quế,,5,-1
VEG85,Thì là,,5,-1
MEA10,Thịt ba chỉ,,3,60
MEA11,Thịt bò,,3,60
MEA12,Thịt gà,,3,60
MEA13,Thịt heo bằm,,3,60
VEG86,Thơm,,5,-1
RIC09,Thuốc bắc,,-1,-1
SPI47,Tiêu,,-1,-1
SPI48,Tiêu sọ,,-1,-1
SPI49,Tiêu xanh,,7,-1
SPI50,Tiêu xay,,-1,-1
SPI51,Tỏi,,3,-1
SPI52,Tỏi băm,,3,-1
SPI53,Tỏi phi,,3,-1
SEA16,Tôm khô,,10,-1
SEA17,Tôm tươi,,14,-1
VEG87,Trái tắc,,7,-1
EGG01,Trứng cút,,10,-1
EGG02,Trứng gà,,10,-1
EGG03,Trứng vịt,,10,-1
SPI54,Tương cà,,10,-1
SPI55,Tương ớt,,-1,-1
VEG88,Xà lách,,3,-1
VEG89,Xà lách xoong,,3,-1
VEG90,Xoài chín,,3,-1
SPI56,Xốt nêm thịt heo Knorr,,-1,-1
SPI57,Xốt rô-ti Barona,,-1,-1
