ID_Ingredient,Ingredient,Quantity,Weigh
MEA14,Sườn non,400 Gr,0.5
VEG07,Bông cải xanh,30 Gr,0.2
VEG13,Cà rốt,30 Gr,0.05
VEG66,Ớt chuông đỏ,30 Gr,0.05
VEG68,Ớt chuông xanh,30 Gr,0.05
VEG30,Hành tây,30 Gr,0.05
SPI52,Tỏi băm,5 Gr,0.05
VEG32,Hành tím băm,5 Gr,0.05
SPI41,Nước tương Maggi,2 Muỗng canh,0.0
SPI22,Đường trắng,2 Muỗng canh,0.0
