ID_Ingredient,Ingredient,Quantity,Weigh
MEA10,Thịt ba chỉ,300 Gr,0.6
SPI30,Mắm ruốc,1 Muỗng canh,0.2
VEG82,Sả,15 Gr,0.1
VEG31,Hành tím,10 Gr,0.1
SPI51,Tỏi,10 Gr,0
VEG64,Ớt,10 Gr,0
SPI22,Đường trắng,2 Muỗng canh,0
