ID_Ingredient,Ingredient,Quantity,Weigh
SEA15,Phi lê cá hồi,200 Gr,0.5
SPI34,Muối,1/4 Muỗng cà phê,0.2
SPI08,Bột tỏi,1/4 Muỗng cà phê,0.2
SPI07,Bột ớt paprika,1/2 Muỗng cà phê,0.1
