ID_Ingredient,Ingredient,Quantity,Weigh
MEA06,Lòng heo,1 Bộ,0.5
SPI34,Muối,1 Muỗng canh,0.05
SPI24,Giấm,1 Muỗng canh,0.05
SPI35,Nước mắm,1.50 Muỗng canh,0.1
SPI22,Đường trắng,1 Muỗng canh,0.05
SPI47,Tiêu,1/2 Muỗng cà phê,0.05
SPI51,Tỏi,3 Tép,0.05
VEG28,Hành lá,2 Cây,0.05
SPI10,Dầu ăn,200 ml,0.05
VEG71,Ớt sừng,1 Trái,0.05
